"fips","less_12","college","total_persons","year"
"06001",445040,1035764,3178324,1990
"06003",36,172,608,1990
"06005",4573,3765,26372,1990
"06007",73928,83445,377547,1990
"06009",5076,4195,28558,1990
"06011",3612,1621,12242,1990
"06013",278669,809446,2445140,1990
"06015",5252,2094,18819,1990
"06017",26645,41148,196230,1990
"06019",297572,277767,1279659,1990
"06021",5984,2085,20484,1990
"06023",22066,25078,121065,1990
"06025",33290,8584,75515,1990
"06027",3254,2970,19981,1990
"06029",242337,170138,1025283,1990
"06031",18426,7558,67136,1990
"06033",15462,5539,53893,1990
"06035",5363,2753,21226,1990
"06037",9458187,10390313,40543273,1990
"06039",19489,8782,65093,1990
"06041",53436,395916,862432,1990
"06043",2361,1929,11266,1990
"06045",13405,11431,65639,1990
"06047",73238,41977,268259,1990
"06049",2070,932,7913,1990
"06051",992,2294,9311,1990
"06053",129937,197020,726392,1990
"06055",56298,68294,323875,1990
"06057",10176,15993,73201,1990
"06059",1170300,2125138,7447206,1990
"06061",55306,96958,410542,1990
"06063",3378,2834,19356,1990
"06065",620035,457065,2877807,1990
"06067",443282,731398,2978300,1990
"06069",6236,4309,25429,1990
"06071",728442,526198,3346949,1990
"06073",1009120,1966314,7073972,1990
"06075",248208,837462,1878720,1990
"06077",282088,153814,1034023,1990
"06079",41223,76484,292529,1990
"06081",285708,627602,1990110,1990
"06083",138788,272413,940726,1990
"06085",600327,1401406,4120285,1990
"06087",101116,214479,695514,1990
"06089",74269,55046,368155,1990
"06091",759,482,3050,1990
"06093",8927,5534,40674,1990
"06095",121597,147625,803940,1990
"06097",137662,248736,989473,1990
"06099",223033,122757,851689,1990
"06101",30414,26453,148910,1990
"06103",11431,4300,42932,1990
"06105",3280,1718,12908,1990
"06107",130591,74065,458547,1990
"06109",8843,7642,48169,1990
"06111",299362,463096,1875451,1990
"06113",46749,106179,295795,1990
"06115",38564,11198,125059,1990
"06NA",13030679,18340090,69354122,1990
"06001",445040,1035764,3178324,1990
"06003",36,172,608,1990
"06005",4573,3765,26372,1990
"06007",73928,83445,377547,1990
"06009",5076,4195,28558,1990
"06011",3612,1621,12242,1990
"06013",278669,809446,2445140,1990
"06015",5252,2094,18819,1990
"06017",26645,41148,196230,1990
"06019",297572,277767,1279659,1990
"06021",5984,2085,20484,1990
"06023",22066,25078,121065,1990
"06025",33290,8584,75515,1990
"06027",3254,2970,19981,1990
"06029",242337,170138,1025283,1990
"06031",18426,7558,67136,1990
"06033",15462,5539,53893,1990
"06035",5363,2753,21226,1990
"06037",4706703,5157425,20124883,1990
"06039",19489,8782,65093,1990
"06041",53436,395916,862432,1990
"06043",2361,1929,11266,1990
